video_id,page_number,charts_number,example_num,term_id,sequence,real_duration,mean_duration_watched_all,std_duration_watched_all,std_duration,num_finished,num_watched,mean_times,max_times,num_watched_all,watched_area1,watched_area2,watched_area3,time_spent_ratio,emotion,emotion_change,speed,stt_accuracy,stt_low_accuracy_ratio,animation,hand_writing,example,charts,highlight,flag,radio,ratio_change,word_count
00df086c041d479a89e8b48cdf545f9f,5,0,0,COMP107x_2016T1,23,284.43,308.293,158.892,172.865,1538,1867,1.14989,14,1421,"[(0, 10), (31, 40)]","[(0.63, 1.801), (2.0, 2.22581)]",None,0.0668003,0.0,0.0,0.0,0.953816,0.178388,"43,8533:(823,823)(1035,1037)(1047,1047)(2517,2517)(2541,2541)(4021,4035)(4824,4824)(4829,4829)(5891,5891)(5925,5925)(6044,6044)(6095,6095)(6167,6167)(6212,6212)(6344,6344)(6366,6366)(7985,7995)","1067,8533:(806,809)(1244,1249)(1257,1262)(1265,1284)(1298,1311)(1433,1438)(1444,1449)(1454,1456)(1459,1470)(1473,1476)(1482,1489)(1500,1521)(1524,1534)(1556,1564)(1587,1589)(1599,1605)(1617,1623)(1630,1634)(1665,1670)(1685,1689)(1699,1702)(1745,1747)(1751,1753)(1793,1795)(1798,1803)(1811,1816)(1846,1855)(1858,1872)(1882,1888)(1899,1903)(1909,1921)(1932,1939)(1944,1950)(1966,1970)(1983,1989)(1997,2000)(2004,2014)(2020,2036)(2039,2041)(2046,2048)(2129,2141)(2196,2201)(2531,2538)(2543,2551)(4017,4019)(4036,4038)(4815,4822)(4918,4920)(4931,4935)(4942,4947)(4958,4965)(4968,4978)(4987,4991)(5002,5017)(5026,5030)(5038,5041)(5068,5073)(5076,5078)(5082,5087)(5092,5094)(5105,5111)(5158,5166)(5263,5268)(5276,5282)(5288,5293)(5329,5331)(5338,5340)(5347,5349)(5393,5398)(5408,5424)(5428,5440)(5449,5451)(5457,5459)(5462,5472)(5481,5485)(5488,5512)(5516,5519)(5544,5548)(5558,5560)(5608,5610)(5814,5818)(5832,5837)(5851,5857)(5863,5866)(5896,5898)(5901,5923)(5926,6042)(6045,6093)(6096,6165)(6168,6210)(6213,6342)(6345,6364)(6367,6371)(7981,7983)(7996,8000)",0,,,0,0.155172413793,0.0172413793103,581
02128fae2a4f4fb085f04e6ff98f9f28,6,2,1,COMP107x_2016T1,14,237.97,278.011,146.13,157.815,2328,2975,1.18981,10,2160,"[(0, 201)]","[(0.01628, 101.63088), (101.63354, 101.642), (102.0, 102.22021)]",None,0.844644,0.0,0.0,0.0,0.950837,0.162376,"99,7140:(25,37)(90,91)(481,482)(513,521)(1517,1528)(1570,1571)(2479,2480)(2510,2525)(4399,4417)(5880,5897)(5922,5923)(7110,7111)","23,7140:(21,23)(508,511)(522,526)(1511,1515)(2526,2528)(5898,5900)",0,,,0,0.254901960784,0.176470588235,498
0818626dedc44f839ae1a881ee87fc01,7,3,0,COMP107x_2016T1,27,403.33,410.579,139.431,181.522,993,1308,1.02293,6,916,[],"[(1.01, 1.15), (1.15808, 1.16816), (1.22, 1.22762), (1.26607, 1.267), (1.267, 1.30052), (1.41639, 1.433), (1.54881, 1.56394), (1.62079, 1.66695)]",None,0.0,0.0,0.0,0.0,0.955122,0.16118,"155,12101:(1734,1744)(3804,3821)(4535,4541)(5594,5594)(5600,5602)(5606,5625)(5952,5952)(5962,5964)(5970,5970)(5973,5975)(7042,7055)(7076,7084)(9348,9350)(9353,9359)(9384,9391)(9586,9586)(9597,9597)(9934,9954)(10020,10034)(11474,11481)","334,12101:(15,24)(4542,4548)(5589,5592)(5596,5598)(5869,5875)(5880,5885)(5890,5903)(5914,5922)(5983,5986)(6428,6434)(6437,6445)(6448,6464)(6498,6509)(6513,6519)(6524,6536)(6543,6563)(6566,6570)(6573,6580)(6591,6599)(6604,6614)(6617,6636)(6648,6661)(6674,6680)(6684,6689)(6701,6704)(7070,7074)(7085,7089)(9523,9529)(9533,9539)(9553,9560)(9567,9571)(9576,9578)(9582,9584)(9591,9594)(9598,9605)(9613,9618)(9625,9632)(9658,9674)(9681,9686)(9901,9904)(10035,10038)",0,,,0,0.0744680851064,0.0851063829787,835
18a18a55c26942d792febea0221d6a40,4,0,0,COMP107x_2016T1,29,192.6,198.917,80.6864,97.345,975,1216,1.05683,5,915,[],[],None,0.0,0.0,0.0,0.0,0.949588,0.18591,"49,5778:(414,425)(3083,3100)(5063,5081)","4,5778:(426,429)",0,,,0,0.163265306122,0.163265306122,487
47fd1d549767462bbf8bc9c6aa42b18b,6,0,0,COMP107x_2016T1,37,335.1,324.948,84.2492,132.9,652,870,1.00791,3,632,[],[],None,0.0,0.0,0.0,0.0,0.963021,0.126918,"75,10053:(383,397)(2195,2211)(5948,5959)(6901,6914)(9493,9508)(9511,9511)","0,10053:",0,,,0,0.180555555556,0.222222222222,675
5d053229c06f4159b43727763e1eaaa6,7,1,1,COMP107x_2016T1,45,469.53,447.349,113.452,182.425,609,803,0.966159,3,591,[],[],None,0.0,0.0,0.0,0.0,0.954883,0.167965,"102,14087:(13,17)(495,495)(500,500)(5996,6009)(7348,7348)(7351,7368)(8636,8654)(11656,11673)(13475,13494)(14070,14074)","13,14087:(484,493)(496,498)",0,,,0,0.108108108108,0.0900900900901,1076
5fca32dbfeb342658cb0fc5f509d493d,5,1,1,COMP107x_2016T1,9,328.43,368.554,147.715,180.282,3032,4253,1.07603,8,2828,"[(0, 147), (163, 250)]","[(0.00061, 143.661), (144.0, 144.40819), (145.0338, 145.06625), (145.221, 145.22768), (145.24, 145.3301), (146.0, 146.44314), (147.01363, 147.1), (147.12589, 147.22), (150.0, 150.21351), (150.28485, 150.29617), (151.0, 151.061), (151.095, 151.12), (151.13333, 151.179), (178.0, 178.225), (179.0, 179.378), (179.46, 179.47337), (180.0, 180.44306), (181.0, 181.267), (181.3, 181.3), (181.33, 220.82462), (220.85114, 220.866), (221.0, 221.5599), (221.64, 221.667), (222.0, 222.3), (222.5, 222.66), (223.0, 223.16288), (224.0, 224.12937), (224.14635, 224.20577), (224.21271, 224.21436), (224.22473, 224.22996), (224.32871, 224.3965), (225.0, 225.9425), (225.96, 225.96885), (226.0, 227.92683), (227.957, 227.96971), (227.97702, 241.82341), (241.94063, 241.94844), (242.0, 242.54), (243.0, 243.039), (244.00092, 244.07642), (244.09, 244.11079), (244.11747, 244.13422)]",None,0.712481,0.0,0.0,0.0,0.946866,0.189306,"65,9853:(25,25)(500,500)(503,512)(1386,1390)(1749,1754)(2106,2106)(2208,2208)(2371,2371)(2619,2619)(3045,3054)(5833,5833)(5968,5968)(6347,6348)(6381,6381)(6596,6596)(6933,6933)(6986,6987)(6992,6992)(7038,7039)(7316,7318)(7412,7416)(9233,9240)","827,9853:(513,517)(1396,1408)(1411,1426)(1479,1492)(1549,1552)(1556,1562)(1566,1571)(1574,1577)(1582,1587)(1596,1602)(1611,1617)(1712,1722)(2013,2019)(2055,2063)(2081,2086)(2089,2104)(2204,2206)(2209,2214)(2217,2227)(2234,2237)(2358,2369)(2372,2383)(3041,3043)(3539,3543)(3558,3560)(3565,3571)(3581,3585)(3597,3601)(3621,3626)(3634,3638)(3675,3681)(3794,3799)(3868,3871)(3887,3891)(3963,3965)(3987,3994)(4003,4006)(4019,4021)(4728,4731)(4736,4740)(4773,4775)(4796,4809)(4819,4833)(4845,4848)(4873,4880)(4890,4899)(5042,5044)(5070,5074)(5205,5209)(5366,5368)(5396,5399)(5509,5514)(5541,5549)(5557,5565)(5577,5579)(5593,5599)(5728,5731)(5739,5741)(5757,5763)(5771,5773)(5874,5878)(5887,5892)(5956,5958)(5975,5982)(5993,6000)(6007,6012)(6025,6028)(6076,6081)(6093,6095)(6110,6115)(6125,6130)(6158,6162)(6251,6256)(6265,6269)(6279,6281)(6289,6293)(6300,6307)(6326,6330)(6338,6345)(6359,6361)(6369,6371)(6382,6385)(6389,6392)(6400,6407)(6413,6415)(6427,6432)(6463,6476)(6674,6681)(6684,6692)(6713,6719)(6727,6731)(6747,6759)(6799,6820)(6824,6829)(6832,6839)(6849,6854)(6872,6876)(6882,6903)(6926,6931)(6934,6948)(6955,6974)(7016,7020)(7023,7028)(7048,7053)(7058,7063)(7077,7083)(7103,7107)(7117,7122)(7126,7131)(7144,7152)(7200,7209)(7237,7244)(7247,7252)(7261,7283)(7286,7289)(7298,7306)(7322,7324)(7397,7399)(9241,9243)",0,,,0,0.402777777778,0.138888888889,676
703f18b4db924192bb45e60a4fd5f4e8,7,1,0,COMP107x_2016T1,11,593.34,607.511,187.6,272.895,2369,3308,1.01719,5,2152,"[(95, 118)]","[(0.001, 153.93699), (153.96, 153.98159), (154.0, 154.56728), (154.75459, 154.818), (156.04, 156.04), (156.04, 156.51579), (157.0, 157.1685), (158.0, 158.08648), (158.1959, 158.2), (158.20019, 158.36667), (159.0, 159.10914), (160.962, 161.2), (161.2, 161.2), (161.23298, 161.2339), (162.0, 162.2), (162.23333, 162.281), (162.31, 162.33827), (162.33875, 162.36146), (162.39541, 162.3998), (162.44581, 162.49775), (162.52, 162.55727), (162.55996, 162.781), (163.0, 163.03), (163.07012, 163.1124), (163.15309, 163.1875), (163.193, 163.38549), (164.0, 164.533), (165.41, 165.447), (167.0, 167.418), (167.45975, 167.46), (168.0, 168.02053), (176.0, 176.157), (197.86, 197.90515), (197.92474, 198.78743), (198.8, 198.841), (199.0, 199.88487), (199.96206, 199.965), (200.0, 200.74), (201.0, 201.0), (201.0, 201.07731), (201.07868, 201.08562), (201.101, 201.34617), (202.08343, 202.09179), (202.12, 202.13181), (203.3, 203.5), (203.524, 203.77956), (204.0, 204.60317), (205.0, 205.36), (210.0, 210.00588), (210.01723, 210.48731), (210.48731, 210.51836), (210.56, 210.76586), (211.0, 211.377), (212.0, 212.26125), (212.28, 212.282), (212.55266, 212.58625), (212.64098, 212.654), (212.68, 212.71451), (215.08, 215.30888), (215.32, 215.42761), (215.64589, 215.66524), (216.0, 216.13469), (216.13651, 216.17186), (216.18, 216.19316), (216.1932, 216.2344), (216.4, 216.40262), (216.48795, 216.51822)]",None,0.0387636,0.0,0.0,0.0,0.956472,0.159773,"109,17801:(569,569)(572,580)(583,584)(2062,2077)(2080,2080)(2963,2969)(2974,2980)(3653,3659)(3667,3669)(4852,4852)(5559,5559)(5915,5917)(5921,5923)(5926,5928)(5931,5931)(5934,5936)(15944,15954)(15957,15957)(15960,15960)(15990,15990)(16020,16021)(16733,16735)(16978,16992)(16995,16996)(17772,17776)","572,17801:(46,48)(3428,3431)(3734,3736)(3774,3781)(3789,3794)(3800,3819)(3822,3833)(3838,3850)(3857,3864)(3871,3874)(3980,3985)(3988,3990)(4075,4081)(4091,4098)(4107,4110)(4116,4122)(4131,4137)(4232,4237)(4248,4252)(4270,4276)(4314,4321)(4333,4336)(4347,4350)(4461,4466)(4618,4623)(4674,4705)(4708,4734)(4744,4748)(4826,4831)(4837,4842)(4890,4897)(4902,4915)(4918,4920)(4927,4936)(4940,4948)(4965,4973)(4981,4986)(4994,5000)(5005,5011)(5054,5064)(5069,5072)(5102,5124)(5131,5139)(5146,5153)(5160,5167)(5205,5216)(5219,5224)(5229,5241)(5248,5253)(5256,5269)(5284,5286)(5294,5297)(15842,15847)(15881,15885)(16078,16085)(16100,16104)(16140,16142)(16170,16175)(16188,16190)(16213,16217)(16225,16230)(16247,16257)(16265,16268)(16273,16275)(16409,16423)(16429,16434)(16470,16472)(16620,16623)(16647,16651)(16687,16691)(16694,16696)(16711,16715)(16745,16748)(16762,16770)(16773,16778)(16815,16817)",0,,,1,0.904,0.088,1171
77b6cebba0f74e52859ab89c43effd6f,6,4,1,COMP107x_2016T1,6,469.57,531.597,211.202,253.954,4563,5978,1.11706,9,4092,"[(1, 73), (88, 286), (309, 370), (408, 423)]","[(0.00167, 270.8556), (271.0, 271.4915), (328.0, 328.093), (328.27969, 328.3), (328.32, 328.341), (328.37, 328.44661), (329.0, 329.258), (329.261, 329.34358), (330.0, 330.0), (330.0, 330.101), (330.16778, 330.22625), (330.23331, 330.25237), (330.26552, 330.28698), (331.02, 331.06127), (331.07985, 331.10145), (331.10766, 331.148), (331.72, 333.8619), (334.0, 334.35467), (334.355, 334.361), (335.0, 335.042), (335.21, 335.379), (336.0, 336.17859), (345.0, 345.45385), (347.0, 347.23291), (348.0, 348.13702), (348.14, 348.14919), (348.19942, 348.2), (348.41, 349.44082), (349.4615, 349.49446), (349.50036, 349.51865), (349.54, 349.56), (350.0, 350.015), (351.0, 351.24), (351.26, 351.43427)]",None,0.736844,0.0,0.0,0.0,0.953441,0.180773,"120,14088:(4,31)(627,627)(632,643)(3279,3279)(4148,4149)(4167,4172)(4188,4190)(4760,4760)(4987,4989)(4995,4995)(5224,5224)(5269,5269)(5420,5420)(5819,5824)(5827,5827)(8247,8262)(8266,8266)(9918,9919)(9922,9922)(9929,9938)(10366,10366)(10625,10625)(11434,11439)(11444,11444)(11584,11584)(11587,11587)(12460,12461)(12464,12466)(14058,14060)(14083,14085)","118,14088:(628,630)(3273,3276)(3652,3678)(3703,3707)(4005,4014)(4018,4021)(4181,4183)(4216,4218)(9925,9927)(9939,9941)(11504,11506)(11512,11516)(11595,11597)(11615,11632)(11646,11649)(11661,11665)(11668,11672)(11683,11685)(11692,11694)(11698,11701)",0,,,1,0.816326530612,0.183673469388,928
80ad9ed98a3a4a28a303307d2308c242,4,1,1,COMP107x_2016T1,43,291.03,286.18,91.2733,118.425,774,910,1.05817,6,722,[],[],None,0.0,0.0,0.0,0.0,0.950528,0.18661,"46,8731:(169,183)(3445,3461)(7757,7757)(7761,7773)","3,8731:(3462,3464)",0,,,0,0.046875,0.046875,677
868b783fe8c34cceac01815421989d82,10,0,3,COMP107x_2016T1,47,546.87,544.378,192.158,254.78,546,764,1.012,6,500,[],"[(0.00092, 3.82), (4.0, 4.46913), (4.47, 4.521), (85.51, 88.56529), (88.75, 88.83267), (89.0, 92.89796), (92.97, 95.561), (95.67638, 95.8), (96.0, 96.0653), (96.82, 99.8), (99.81, 101.21625), (101.249, 101.38), (101.43291, 104.8), (105.0, 105.46), (105.52293, 105.53302), (114.71, 116.4843), (119.0, 119.265), (119.49177, 119.86327), (119.99481, 120.09065), (120.14392, 121.67472), (121.74011, 122.42278), (122.60216, 122.61469), (123.16791, 123.34), (123.41169, 123.61236), (123.62, 123.667), (124.0, 129.61879), (129.69, 129.70797)]",None,0.0,0.0,0.0,0.0,0.952266,0.166667,"119,16407:(221,227)(3778,3796)(5253,5270)(7020,7027)(7871,7885)(10248,10248)(10251,10265)(10966,10966)(11075,11075)(11184,11184)(11617,11617)(11808,11808)(11959,11959)(12102,12113)(12372,12372)(12523,12523)(15702,15717)","27,16407:(214,219)(228,230)(2452,2455)(7015,7018)(7028,7030)(10266,10269)(12114,12116)",0,,,0,0.115384615385,0.115384615385,1198
95e1fe39195d40029db3339b9545cd93,7,5,0,COMP107x_2016T1,2,375.68,418.286,172.454,215.091,6836,9361,1.11395,12,6231,"[(0, 79)]","[(0.0, 65.96382), (66.0, 66.9215), (66.97, 67.875), (68.0, 68.378), (68.381, 68.398), (68.433, 68.433), (68.44, 68.48), (69.0, 69.16775), (69.17079, 69.181), (69.18134, 69.24), (70.0, 70.299), (73.0, 73.134), (77.12, 77.30571), (77.36117, 77.38254), (77.39224, 77.4), (77.40927, 77.461)]",None,0.210285,0.0,0.0,0.0,0.95283,0.189189,"150,11271:(15,15)(45,47)(140,141)(146,161)(586,586)(589,589)(598,598)(602,602)(921,921)(925,925)(936,936)(1485,1486)(1489,1490)(1498,1498)(2290,2290)(2293,2293)(2296,2309)(2461,2462)(2682,2682)(3002,3002)(3279,3279)(3638,3638)(4206,4206)(4856,4858)(5206,5208)(5227,5228)(5265,5280)(6021,6021)(6615,6616)(6623,6631)(6634,6634)(6637,6637)(6836,6836)(7198,7206)(7831,7841)(8739,8739)(8854,8862)(9489,9489)(9702,9702)(9706,9706)(10193,10193)(10287,10287)(10653,10669)(11250,11250)(11256,11256)","12,11271:(6617,6619)(9707,9715)",0,,,0,0.253012048193,0.228915662651,736
ae99d64b267c4f179769a9e87f980e0b,5,0,1,COMP107x_2016T1,25,312.03,331.821,135.615,161.648,1128,1434,1.08247,8,1067,"[(51, 55), (87, 95), (154, 167)]","[(21.17419, 21.17625), (27.0, 27.0), (27.0, 27.06127), (27.55, 28.17163), (28.23431, 28.30501), (28.30994, 28.4337), (28.475, 28.50282), (28.55192, 28.57), (28.64112, 28.67303), (28.69, 28.76696), (28.77673, 28.83761), (28.88444, 30.59736), (30.59741, 30.99625)]",None,0.0801205,0.0,0.0,0.0,0.95124,0.178674,"49,9362:(36,38)(588,601)(2743,2761)(8054,8066)","3,9362:(8050,8052)",0,,,0,0.0714285714286,0.0714285714286,676
b10b0eac862f4f89beab908c4b1d358a,5,0,0,COMP107x_2016T1,35,274.86,281.608,92.1731,122.653,741,950,1.03879,5,696,"[(27, 36)]","[(15.96, 15.97193), (15.97492, 18.72833), (18.77284, 18.97), (19.09, 19.13896), (19.25318, 19.27), (20.00061, 20.05385), (22.0, 22.1658), (22.166, 22.31135), (22.31946, 22.339), (22.55183, 22.58972), (23.0, 49.23732), (49.4, 49.49245), (53.0, 53.037), (53.13, 53.30967), (54.0, 54.123), (54.16, 56.49282), (56.50158, 56.52799), (58.09, 58.4), (58.4, 58.43593), (58.50732, 58.816), (59.0, 61.27585), (61.31184, 61.33798), (62.09, 62.42625), (63.08708, 63.50593), (63.6, 63.682), (64.0, 64.23741), (64.30317, 64.43072), (65.0, 65.161), (65.19991, 65.32011), (65.70278, 65.70821), (66.24, 66.61478), (66.66176, 66.84275), (67.0, 67.14899), (68.0, 69.5), (69.57556, 69.77), (70.0, 70.04591), (70.1, 70.1183), (70.23761, 70.30125), (70.60088, 70.641), (71.0, 71.06759), (71.5, 71.86298), (71.88155, 72.37672)]",None,0.0327439,0.0,0.0,0.0,0.94827,0.1849,"58,8246:(474,476)(2077,2095)(4372,4388)(6964,6982)","16,8246:(465,472)(477,481)(4389,4391)",0,,,0,0.125,0.0625,623
ba35454baa764a52bcbdb22e29677fcf,6,4,3,COMP107x_2016T1,16,306.0,326.428,155.103,171.378,1877,2292,1.0902,17,1796,[],[],None,0.0,0.0,0.0,0.0,0.95681,0.164425,"75,9181:(25,35)(385,387)(1988,2000)(3693,3705)(4046,4046)(4272,4272)(4520,4520)(4685,4685)(5168,5180)(8137,8154)","30,9181:(20,23)(36,38)(374,383)(388,390)(1983,1986)(3689,3691)(3706,3708)",0,,,0,0.430769230769,0.323076923077,644
d33590f09c184840ab8a92f45f0654a1,7,3,1,COMP107x_2016T1,19,925.27,926.9,255.965,385.558,1408,1947,0.981693,5,1311,[],"[(0.10281, 54.97048), (55.0, 55.59779), (56.14435, 56.20656), (57.0842, 57.13165), (57.13165, 57.14815), (60.0, 60.39858), (60.39875, 60.56478), (60.58, 60.658), (61.0, 61.6), (61.66, 61.66865), (62.0, 62.64), (63.0, 63.12099), (64.0, 107.07214), (107.07214, 107.08007), (110.00869, 110.01181), (110.06, 110.081), (110.10755, 110.19104), (110.421, 110.4941), (266.0, 266.24), (266.30418, 266.34731), (266.52, 266.53387), (266.63029, 266.66158), (267.45, 313.9449), (314.0, 314.041)]",None,0.0,0.0,0.0,0.0,0.956081,0.158673,"116,27758:(18,29)(424,438)(2220,2235)(5075,5088)(6540,6540)(7665,7665)(8104,8104)(8338,8338)(8689,8689)(9121,9121)(9126,9126)(10215,10215)(10474,10474)(11251,11251)(11690,11690)(11697,11697)(12653,12655)(12659,12664)(18506,18506)(19172,19172)(19799,19799)(22664,22680)(26678,26695)","17,27758:(14,16)(30,32)(418,422)(2236,2238)(12665,12667)",0,,,1,0.633187772926,0.288209606987,2139
d5e5e1b26d1243e6a8eb85233e4bddcb,5,1,0,COMP107x_2016T1,39,299.08,293.408,99.9649,132.732,752,934,1.04225,5,710,[],[],None,0.0,0.0,0.0,0.0,0.956944,0.14497,"66,8972:(617,631)(3581,3581)(3584,3600)(6471,6488)(8063,8063)(8111,8113)(8173,8183)","4,8972:(8097,8100)",0,,,0,0.197183098592,0.140845070423,658
ec59ac19dda44ced8cacdddc495dabf6,4,0,0,COMP107x_2016T1,33,299.73,307.19,119.221,145.621,952,1181,1.09444,6,900,[],"[(1.0, 2.97857), (3.0, 3.60293), (3.74, 3.921), (3.97998, 4.32), (4.32408, 4.338), (5.0, 5.15881), (5.34, 5.40125), (5.43337, 5.4683), (5.48, 5.5375), (5.5375, 5.55271), (8.03397, 8.06749)]",None,0.0,0.0,0.0,0.0,0.952288,0.184588,"52,8992:(701,715)(3862,3876)(6358,6367)(6565,6565)(6746,6746)(6959,6959)(7004,7004)(7719,7719)(7811,7811)(7917,7917)(8407,8411)","1646,8992:(3877,3880)(6354,6356)(6368,6408)(6411,6563)(6566,6657)(6660,6744)(6747,6957)(6960,7002)(7005,7443)(7446,7531)(7534,7717)(7720,7809)(7812,7915)(7918,8028)",0,,,0,0.236363636364,0.145454545455,548
f93085d4873f4b29b5388e4bf0a8c5ad,5,1,0,COMP107x_2016T1,41,320.73,326.196,113.913,146.586,951,1151,1.06201,4,887,[],[],None,0.0,0.0,0.0,0.0,0.952911,0.191959,-1,,0,,,0,0.186666666667,0.146666666667,760
62d8d86a03a94d39b90bfd9ea4c2dd68,4,1,1,COMP102_1x,2,183.48,193.4,53.5914,79.0194,12513,14912,1.14716,13,11199,[],[],None,0.0,0.0,0.0,0.0,0.952998,0.183716,"7,4588:(47,47)(1200,1200)(1690,1690)(2787,2787)(3213,3213)(3770,3770)(4295,4295)","0,4588:",0,,,0,0.228571428571,0.0571428571429,483
924575c8e9cb4d519480aa7746f041f0,1,1,1,COMP102_1x,3,77.37,81.3261,22.6756,30.169,11584,12852,1.09448,9,10806,[],[],None,0.0,0.0,0.0,0.0,0.947934,0.19209,"2,1935:(231,231)(528,528)","0,1935:",0,,,1,0.769230769231,0.153846153846,179
b3fda93c4a834941833938476bb523a4,3,0,1,COMP102_1x,4,382.08,397.814,110.776,166.252,9505,11695,1.15839,43,8643,[],[],None,0.0,0.0,0.0,0.0,0.954228,0.185766,"10,9553:(58,58)(2065,2065)(3234,3234)(3676,3676)(4124,4124)(4242,4242)(7474,7474)(7571,7571)(7994,7994)(8412,8412)","0,9553:",0,,,1,0.59375,0.109375,839
14b3d3f3a4ed4717a57f0a5e48bde2e2,11,9,3,COMP102_1x,6,424.79,446.121,152.309,217.517,10265,16358,1.11222,80,8742,[],"[(0.0, 127.919), (128.0, 128.98755), (129.0, 129.306), (129.31183, 129.31859), (130.0, 130.12462), (130.12667, 130.13399), (130.14059, 130.159), (130.15946, 130.16898), (130.26, 130.26), (130.26122, 130.26458), (130.5, 134.87089), (135.0, 135.441), (136.0, 137.992), (138.0, 138.421)]",None,0.0,0.0,0.0,0.0,0.949858,0.180952,"23,10620:(15,15)(267,267)(2219,2219)(2665,2665)(2796,2796)(2867,2867)(3026,3026)(3266,3266)(3595,3595)(3856,3856)(3870,3870)(4011,4011)(4297,4297)(4750,4750)(4980,4980)(5047,5047)(5151,5151)(5260,5260)(5426,5426)(5684,5684)(6175,6175)(6386,6386)(7153,7153)","0,10620:",0,,,1,0.661538461538,0.323076923077,947
